title,year,listed_in,country,weighted_average_vote,weighted_allgenders_0age,weighted_allgenders_18age,weighted_allgenders_30age,weighted_allgenders_45age,weighted_males_allages,weighted_males_0age,weighted_males_18age,weighted_males_30age,weighted_males_45age,weighted_females_allages,weighted_females_0age,weighted_females_18age,weighted_females_30age,weighted_females_45age
Snow Day,2000,"Children & Family Movies, Comedies",United States,5.1,5.894317049,5.518420095,5.06450074,5.382087447,5.110755599,5.895209581,5.507963044,5.09619384,5.416330565,5.58018018,5.899100899,5.868681319,5.559897172,5.743900544
Snowpiercer,2013,"Action & Adventure, Cult Movies, International Movies","South Korea, Czech Republic",7.1,6.241329011,7.378351855,6.991287543,6.673466883,7.094053253,6.174679213,7.373356069,6.989752094,6.668830359,6.969481745,5.927906977,7.187874419,6.844177738,6.614509481
Sohni Mahiwal,1984,"Dramas, International Movies, Romantic Movies","India, Soviet Union",6.2,0,5.902723735,5.931903485,5.897276265,5.914089347,0,5.902439024,5.91884058,5.897465887,5.907072692,0,5.899401795,5.906903353,5.904095904
Soldier,1998,"Comedies, Dramas, International Movies",India,6,5.898101898,6.048849105,5.99643862,6.174621436,5.997506607,0,6.045843488,5.996210399,6.172139673,6.117875719,5.898101898,5.932635983,5.958932238,6.189762151
Soldier,1998,"Comedies, Dramas, International Movies",India,6.1,0,6.052628324,5.9549955,5.84995417,6.093917963,0,6.045060548,6.058088931,5.861797753,5.760135135,0,5.895510984,5.772727273,5.886510264
Solomon Kane,2009,"Action & Adventure, International Movies, Sci-Fi & Fantasy","Czech Republic, United Kingdom, France",6.1,5.899304866,6.083838384,5.997340638,6.172403643,6.09630027,5.898807157,6.081548113,5.997037827,6.16898263,5.986103391,5.9000999,6.017046869,5.9,6.157399321
Soul Surfer,2011,"Dramas, Faith & Spirituality, Sports Movies",United States,7,5.904878049,7.106823394,6.843693694,6.823264781,6.760257882,5.898814229,6.664824272,6.725416425,6.612928705,7.305482042,5.904459861,7.390175265,7.083616692,6.812714777
Space Cowboys,2000,"Action & Adventure, Dramas, Sci-Fi & Fantasy",United States,6.4,5.897614314,6.4791019,6.287814166,6.563260379,6.390274455,5.897614314,6.466565002,6.286546482,6.464015833,6.493955461,0,6.160552933,6.265951743,6.582034976
Sparkle,1976,"Dramas, Music & Musicals",United States,6.9,5.89800995,5.99543379,6.197259311,6.178827362,6.035624587,5.9000999,5.915503876,5.97337884,5.94423676,6.495605775,5.884462151,5.986239397,6.198076923,6.231239936
Spectral,2016,"Action & Adventure, Sci-Fi & Fantasy","United States, Hungary",6.3,5.916781158,6.337445265,6.282597346,6.251696655,6.289017325,5.915748031,6.330565199,6.280798771,6.24677312,6.286078833,5.9000999,6.100419413,6.156166846,6.090594059
Spider-Man 3,2007,"Action & Adventure, Sci-Fi & Fantasy",United States,6.2,6.067110519,6.296536886,5.999523487,6.192344791,6.199091234,6.043112063,6.2958218,5.999453268,6.191248031,6.194076297,5.929115128,6.278651865,5.996123129,6.305997368
Spy Kids,2001,"Children & Family Movies, Comedies",United States,5.5,5.874977085,5.705973002,5.121077037,5.71705466,5.407583456,5.860747664,5.612226434,5.12611989,5.630466132,5.710531304,5.911881188,5.989403412,5.375471698,5.963423555
Staged Killer,2019,Thrillers,United States,3.4,0,5.847791953,5.719548872,5.763789869,5.687511478,0,5.871456888,5.806976744,5.807293666,5.734456929,0,5.881268583,5.815533981,5.856947162
Stardust,2007,"Action & Adventure, International Movies, Romantic Movies","United Kingdom, United States",7.6,5.943977055,7.464966828,7.686265518,7.541766862,7.588536673,5.928125,7.342894126,7.582290375,7.431084981,7.769290944,5.91237721,7.608934534,7.842594719,7.510718636
Starsky & Hutch,2004,"Action & Adventure, Comedies",United States,6.1,5.903921569,6.281189748,6.097248476,5.805761364,6.097997176,5.904724409,6.278562624,6.096898744,5.806567282,5.807542047,5.900299103,5.97029997,5.811741223,5.834423408
Steve Jobs,2015,Dramas,"United Kingdom, United States",7.2,6.062147407,7.359810305,6.981904621,6.833002814,7.187084596,6.021541318,7.448642229,7.076764,6.821371285,6.844848886,5.9234714,6.919304322,6.702386117,6.558586548
Striptease,1996,"Comedies, Dramas",United States,4.5,5.894559842,5.190951411,4.564566711,4.553594102,4.549240293,5.897308076,5.258294518,4.481685999,4.577388836,4.894489465,5.896825397,5.59382716,4.915227934,5.075980171
Stuart Little 2,2002,"Children & Family Movies, Comedies",United States,5.5,5.875285171,5.520308692,5.339499671,5.662214849,5.416679454,5.875815739,5.434693311,5.350200803,5.598376783,5.538921864,5.897614314,5.65011694,5.521713729,5.9
Superman Returns,2006,"Action & Adventure, Sci-Fi & Fantasy",United States,6,5.922735675,5.9,5.999286479,6.191534272,5.999487731,5.919626168,5.9,5.999188516,6.190272689,6.092679892,5.902385686,6.1553837,6.087948177,6.302305588
Swami,1977,"Dramas, Independent Movies, International Movies",India,6.6,0,5.908610568,5.927410208,5.922900763,5.950359712,0,5.905593719,5.914557564,5.925626204,5.923679061,0,5.904187438,5.912512413,5.896039604
Taal,1999,"Dramas, International Movies, Music & Musicals",India,6.7,0,6.290373784,6.472598067,6.086803519,6.514514259,0,6.246485261,6.378481013,6.027186761,6.340131974,0,6.040506329,6.288065234,5.977330896
Take Me Home Tonight,2011,"Comedies, Romantic Movies","United States, Germany",6.3,5.905351833,6.450649778,6.286214027,5.981988473,6.386406764,5.902390438,6.521944692,6.378983649,6.059250204,5.9,5.901196411,6.050896145,5.816747613,5.9
Takers,2010,Action & Adventure,United States,6.2,5.902761341,6.454798855,6.093102735,5.987249777,6.192957085,5.905928854,6.444999542,6.092057504,5.985285462,6.513237481,5.894211577,6.587890137,6.289673433,6.192307692
Talaash,2012,"Dramas, International Movies, Thrillers",India,7.2,5.912598425,7.200603479,7.016637721,6.421072797,7.152495798,5.906416584,7.190667708,7.007713605,6.360916442,7.101692806,5.905189621,6.829723607,6.809451877,6.174509804
Talentime,2009,"Dramas, International Movies, Romantic Movies",Malaysia,6.8,0,5.940545809,5.997674419,5.848780488,5.955040872,0,5.926745329,5.980889309,5.858863859,5.936081474,0,5.915163528,5.92173058,5.900398406
Tallulah,2016,"Dramas, Independent Movies",United States,6.7,5.915841584,6.606742538,6.594375495,6.506840391,6.605882353,5.906374502,6.462542182,6.454952341,6.432503062,6.663925008,5.912524851,6.489440994,6.551792609,6.306431274
Tanda Tanya,2011,"Dramas, International Movies",,7.1,0,5.977455566,5.966293184,5.894632207,6.013452915,0,5.952772467,5.954820416,5.897014925,5.935679846,0,5.922482893,5.916683119,5.898101898
Tanu Weds Manu,2011,"Comedies, Dramas, International Movies",India,6.8,5.908366534,6.624012515,6.481976058,5.972036474,6.619678715,5.900199601,6.688359788,6.552616065,5.958454106,6.049699399,5.908183633,6.061082663,5.868073519,5.919626168
Tarzan,1999,Children & Family Movies,United States,7.3,6.1,7.475210325,6.983388704,6.829318632,7.187774946,6.039929329,7.462256139,6.879040473,6.813599447,7.464319961,5.953377735,7.617699236,7.13038822,6.746954987
Taxi Driver,1976,"Classic Movies, Dramas, Thrillers",United States,8.3,6.857894737,8.283635508,8.191854226,8.268161738,8.29477909,6.730049964,8.280408483,8.290277142,8.263112675,7.968863057,6.071910112,7.906241629,7.936672597,7.881203381
Teen Patti,2010,"Dramas, International Movies, Thrillers",India,4.1,0,5.513960546,5.093839954,5.77620784,4.956327307,0,5.534567901,5.123595506,5.786321627,5.781481481,0,5.87254902,5.822488038,5.882033564
Teenage Cocktail,2016,"Dramas, Independent Movies, LGBTQ Movies",United States,5.8,5.977495108,6.418011984,5.707411386,5.739443313,5.620590895,5.929365079,6.116874292,5.638663484,5.738917337,6.358370728,5.950049358,6.516909621,6.060908548,5.890826521
Tees Maar Khan,2010,"Comedies, International Movies, Music & Musicals",India,2.5,5.866633761,3.210553814,3.054875236,5.251671733,2.799543379,5.88019802,3.253546099,3.108988764,5.296166134,4.72592818,0,5.368674699,5.111076685,5.802262017
Tere Naal Love Ho Gaya,2012,"Comedies, International Movies, Romantic Movies",India,5.8,0,5.9,5.66025641,5.923321555,5.751894136,0,5.9,5.672488141,5.908340972,5.956938484,0,5.955765921,5.885616438,5.915014437
Terminator Salvation,2009,"Action & Adventure, Sci-Fi & Fantasy","United States, Germany, United Kingdom, Italy",6.5,5.84965035,6.391013498,6.59609521,6.581285924,6.497658299,5.846428571,6.390042618,6.595700114,6.578929625,6.668099529,5.894866732,6.477857267,6.648813104,6.604347826
Tezz,2012,"Action & Adventure, International Movies, Music & Musicals","United Kingdom, India",3.9,5.899201597,5.231553398,4.855458515,5.748920863,4.683085356,5.899201597,5.249382716,4.95284738,5.765377532,5.595740905,0,5.8484375,5.667633302,5.882926829
Thambi,2019,"International Movies, Thrillers",India,6.8,5.911442786,6.131352155,6.076831091,5.89765625,6.251066218,5.911442786,6.120241692,6.070899471,5.893542074,5.910516066,0,5.90990099,5.902371542,5.902195609
Thank You,2011,"Comedies, International Movies, Romantic Movies",India,4.7,5.89561753,5.270919881,4.835751683,5.714223764,4.895723385,5.89561753,5.288953715,4.936435959,5.747708895,5.428571429,0,5.786547085,5.54375,5.867052023
The 9th Precinct,2019,"International Movies, Thrillers",Taiwan,5.5,5.898203593,5.882409178,5.870758123,5.868164794,5.837552743,5.9000999,5.886854917,5.868663594,5.879146919,5.890839695,5.898101898,5.898814229,5.905882353,5.893069307
The App,2019,"Dramas, Independent Movies, International Movies",Italy,2.6,5.884577114,5.348609941,5.017582418,5.531578947,4.759202059,5.895209581,5.541176471,5.190266876,5.600896861,5.3543052,5.888334995,5.684295175,5.667973856,5.822504892
The Artist,2011,"Comedies, Dramas, Independent Movies","France, Belgium, United States",7.9,6.009859155,7.959955761,7.881191694,7.636976997,7.88641821,5.965965583,7.944485566,7.776853544,7.621572045,8.051232488,5.934516765,7.952249832,7.911452184,7.656526006
The Beast Stalker,2008,"Action & Adventure, International Movies",Hong Kong,6.8,5.904191617,6.062479062,6.410763209,6.083775811,6.428559637,5.9000999,6.028919861,6.379979199,6.066056445,6.05124792,5.904095904,5.932947977,5.986256781,5.937536092
The Bleeder,2016,"Dramas, Sports Movies",United States,6.5,5.900497512,6.108610568,6.248759831,6.30351546,6.380668258,5.899401795,6.092114208,6.239124839,6.286379928,6.028804751,5.901197605,5.935232669,5.97374254,5.93800905
The Blue Elephant 2,2019,"Horror Movies, International Movies, Thrillers",Egypt,8.3,6.066824645,7.630532472,7.092673993,5.968975069,7.659332393,5.976023392,7.423447772,6.943130347,5.949530957,6.492501856,5.91226321,6.307949791,6.053139217,5.903174603
The Blue Umbrella,2005,"Children & Family Movies, Dramas, Independent Movies",India,7.5,0,6.178501629,6.825364431,5.952777778,6.869445638,0,6.169991687,6.781163859,5.921109123,6.075432526,0,5.917073171,6.025114574,5.937209302
The Box,2009,"Sci-Fi & Fantasy, Thrillers",United States,5.6,5.89582505,5.434314735,5.606065507,5.622063691,5.604784536,5.897014925,5.44771903,5.607356367,5.716996686,5.432746087,5.899100899,5.501832994,5.365523643,5.5878287
The Bridge Curse,2020,"Horror Movies, International Movies, Thrillers",Taiwan,5.4,0,5.87700831,5.838123415,5.854650048,5.803877221,0,5.895147479,5.841306267,5.856589147,5.875482094,0,5.886381323,5.9,5.897823937
The Company Men,2010,"Dramas, Independent Movies",United States,6.7,5.901196411,6.636541954,6.667334939,6.707312049,6.773353861,5.901098901,6.614814815,6.662811454,6.692008639,6.559575215,5.900199601,6.158916194,6.410246679,6.450359712
The Congress,2013,"Dramas, International Movies, Sci-Fi & Fantasy","Israel, Germany, Poland, Luxembourg, Belgium, France, United States",6.5,5.896517413,6.623604201,6.436238045,5.974489796,6.452677656,5.895214357,6.623416638,6.422430511,6.042840812,6.337618403,5.900199601,6.253551913,6.263126727,5.9
The Danish Girl,2015,"Dramas, International Movies, LGBTQ Movies","United Kingdom, United States, Germany, Denmark, Belgium, Japan",7.1,6.033034111,7.170535573,6.979943843,6.924137931,6.886142675,5.940307102,6.857028061,6.77422828,6.804970066,7.466613109,5.975496689,7.518214183,7.324528302,7.16029724
The Darkness,2016,"Horror Movies, Thrillers",United States,4.4,5.888118812,4.705245461,4.616606498,5.03888732,4.562232317,5.892039801,4.829694323,4.596956199,5.102414487,4.937750065,5.8960199,5.270873786,5.073535436,5.628750826
The Debt Collector 2,2020,Action & Adventure,United States,5.7,5.9000999,5.877619893,5.836518771,5.824149109,5.76286645,5.9000999,5.87905103,5.838985407,5.811184211,5.892492782,0,5.897211155,5.892927308,5.908284024
The Dirt,2019,"Comedies, Dramas, Music & Musicals",United States,7,5.951233397,6.848880341,6.83044446,6.823321555,6.856472534,5.916342412,6.72168331,6.81646479,6.78870534,6.974579504,5.9160555,6.638444924,6.704352127,6.542833964
The Fighter,2010,"Dramas, Sports Movies",United States,7.8,6.053139217,7.875021544,7.78814434,7.636824372,7.792188817,6.009859155,7.969679031,7.786404877,7.625610613,7.648481639,5.935477583,7.622645384,7.608224137,7.40897304
The Foreigner,2017,"Action & Adventure, International Movies","United Kingdom, China, United States, India",7,5.964711447,6.942824471,6.873923701,7.003976954,6.983554599,5.958357211,6.93556701,6.871223022,6.992222023,6.861756944,5.909036743,6.622382424,6.654962019,6.595910781
The Forgotten,2014,Horror Movies,United Kingdom,5.3,0,5.884245917,5.795049505,5.811073254,5.766200466,0,5.897943193,5.840917108,5.813012478,5.834404865,0,5.885854617,5.851769088,5.904580153
The Grandmaster,2013,"Action & Adventure, Dramas, International Movies","Hong Kong, China",6.6,5.922529644,6.647921595,6.463774679,6.387514061,6.474480031,5.918496538,6.621428571,6.365628652,6.373923093,6.589276516,5.904095904,6.383753501,6.412023038,6.193939394
The Great Gambler,1979,"Action & Adventure, Classic Movies, Cult Movies",India,6.5,0,5.921928166,6.035243997,5.936363636,6.045138396,0,5.918684461,6.0256917,5.937037037,5.928571429,0,5.906349206,5.917221135,5.892927308
The Green Hornet,2011,"Action & Adventure, Comedies",United States,5.8,5.896432015,5.9,5.801260859,5.521887825,5.800853526,5.893610842,5.996617393,5.801442273,5.524795438,5.711512117,5.901195219,5.9,5.719817677,5.703662751
The Haunting of Molly Hartley,2008,"Horror Movies, Thrillers",United States,3.9,5.89561753,4.676096236,4.169783413,4.862509743,4.15478966,5.9000999,4.961752516,4.25359839,4.880444856,4.621313507,5.895214357,5.062052378,4.775422139,5.563309353
The Help,2011,Dramas,United States,8,6.235294118,8.177667301,7.98764437,7.951989026,7.890035027,6.071846435,7.960568564,7.881395695,7.73599461,8.381094407,6.053488372,8.446856349,8.260682809,8.225138141
The Impossible,2012,Dramas,"Spain, Thailand, United States",7.6,6.156320837,7.756714888,7.481024668,7.332135909,7.486407734,6.039110287,7.637759336,7.376856138,7.221678322,7.850835792,6.003247373,7.954948243,7.700824721,7.326710908
The Informant!,2009,"Comedies, Dramas",United States,6.4,5.901492537,6.425512104,6.483348597,6.356366175,6.487636259,5.901492537,6.416550765,6.481307829,6.350144581,6.241563185,0,6.031932773,6.134782609,6.180412824
The Interview,1998,"Cult Movies, Dramas, Thrillers",Australia,7.1,5.906374502,6.536619718,6.72465582,6.667649468,6.899062291,5.904191617,6.473040752,6.767866039,6.604489235,6.397920088,5.902195609,6.055405405,6.1609017,6.16914378
The Irishman,2019,Dramas,United States,7.9,6.766453674,8.065536688,7.681702482,7.544380828,7.889087973,6.606280875,8.059318022,7.777837138,7.630200093,7.338034453,5.974144487,7.292450383,7.17302739,7.0877602
The Iron Lady,2011,"Dramas, International Movies","United Kingdom, France",6.4,5.916441006,6.472044915,6.389466366,6.370550124,6.293530021,5.906686332,6.270749543,6.28829451,6.362786544,6.668808484,5.902176063,6.693692417,6.641297329,6.512558575
The Last Days of American Crime,2020,"Action & Adventure, Dramas, Independent Movies",United States,3.6,5.86735905,4.670971022,4.183904544,4.704003444,3.974470856,5.877700694,4.768363437,4.16518847,4.773574409,5.134159061,5.895104895,5.681021898,5.468488746,5.682531194
The Late Bloomer,2016,Comedies,United States,5.2,5.902380952,5.426537217,5.241740532,5.661228176,5.248809524,5.901789264,5.493747377,5.35814779,5.68071066,5.427198364,5.901197605,5.543478261,5.566037736,5.879069767
The Legend of Bhagat Singh,2002,"Dramas, International Movies",India,8.1,5.901492537,7.797592631,7.69896789,5.957651246,7.907625044,5.901492537,7.780856587,7.769719261,5.924242424,6.429754204,0,6.142530756,6.240803709,5.963568773
The Master,2012,"Dramas, Independent Movies",United States,7.2,6.116230839,7.646246192,6.983495379,6.467936728,7.18763424,6.068396664,7.637106918,7.078974296,6.555628803,6.74866237,5.92983317,6.874563216,6.527234927,6.33393302
The Mirror Boy,2011,"Action & Adventure, Dramas, International Movies","United Kingdom, Nigeria",4.7,5.895104895,5.876338851,5.852408478,5.909664694,5.844634378,5.895104895,5.893313668,5.863405088,5.902970297,5.883090379,0,5.882160555,5.89408867,5.907178465
The Outsider,2019,Movies,United States,5.2,5.9000999,5.866572238,5.730519481,5.645626478,5.521917808,5.9000999,5.863918526,5.732702238,5.674817222,5.93521624,0,5.986159844,6.014606742,5.856038647
The Panti Sisters,2019,"Comedies, International Movies, LGBTQ Movies",Philippines,5.9,0,5.910136452,5.90845481,5.866798419,5.873065903,0,5.903149606,5.898328417,5.865346535,5.917986315,0,5.902780536,5.913861386,5.905189621
The Peacemaker,1997,Action & Adventure,United States,5.9,5.906187625,5.971173249,5.9,6.084785089,5.9,5.906187625,5.967658473,5.9,6.08294534,5.818477458,0,5.925595238,5.755050922,5.956255468
The Ring,2002,"Horror Movies, Thrillers",United States,7.1,6.038461538,6.981831695,7.091864958,7.061671138,7.09379752,5.975824176,6.974447129,7.089828353,7.053904659,6.979150872,5.944724105,6.937268321,6.961841329,6.892781903
The Runaways,2010,"Dramas, Independent Movies, Music & Musicals",United States,6.5,5.905940594,6.634816263,6.472310674,6.418043983,6.377829017,5.903585657,6.454288093,6.362329541,6.314748508,6.65679879,5.90438247,6.691566265,6.523505628,6.246835443
The Sapphires,2012,"Comedies, Dramas, Independent Movies",Australia,7,5.902390438,6.589858315,6.738839645,6.916404887,6.773545776,5.901196411,6.254813578,6.507275355,6.766481379,7.101195219,5.901098901,6.543243243,6.829569892,6.714121939
The Score,2001,"Dramas, Thrillers","Germany, Canada, United States",6.8,5.913052012,6.914022198,6.785952864,6.753684644,6.789779231,5.909664694,6.904156138,6.7845798,6.747925707,6.704489016,5.902390438,6.440018399,6.650894632,6.553739612
The Social Network,2010,Dramas,United States,7.7,6.603886926,7.887842758,7.693119529,7.366968356,7.795185034,6.504624716,7.983214369,7.691546875,7.457173448,7.384243863,6.010922787,7.36027332,7.269639798,7.218225885
The Spectacular Now,2013,"Dramas, Independent Movies, Romantic Movies",United States,7.1,5.963242224,7.173220171,6.978373277,6.701553271,7.182262488,5.936637512,7.249079799,7.066758082,6.763481229,6.777410773,5.92195122,6.85297216,6.647089947,6.398340875
The Time Machine,2002,"Action & Adventure, Sci-Fi & Fantasy","United States, United Arab Emirates",6,5.896850394,6.087018888,5.9,5.9,5.998829889,5.891715976,6.084764226,5.9,5.9,5.991925065,5.901098901,6.104245132,5.9,5.967320261
The Tourist,2010,"Action & Adventure, Romantic Movies","United States, France, Italy, United Kingdom",6,5.938727783,6.29305073,5.9,5.9,5.999252895,5.910144928,6.191891454,5.9,5.9,6.193962932,5.932684825,6.470887918,5.995705759,6.060356789
The Tribes of Palos Verdes,2017,"Dramas, Independent Movies, Sports Movies",United States,5.8,5.902392822,5.94375,5.858139535,5.832187707,5.797991181,5.902195609,5.9,5.835501355,5.793040293,5.971382637,5.9000999,5.937532808,5.918699187,5.912126538
The Vatican Tapes,2015,"Horror Movies, Thrillers",United States,4.8,5.898412698,4.949726951,4.885471406,5.25161744,4.839551111,5.897211155,5.022923588,4.849855852,5.302090873,5.197973778,5.902392822,5.418562874,5.411146642,5.751467269
The Young Messiah,2016,"Dramas, Faith & Spirituality",United States,5.6,5.9000999,5.825225225,5.652908447,5.9,5.64239943,5.9000999,5.821285141,5.638028169,5.860096154,6.027520436,0,5.907493062,5.915611814,5.991833189
Tortilla Soup,2001,"Comedies, Dramas, Romantic Movies",United States,6.7,5.899201597,5.971917808,6.238448126,6.459863946,6.3046875,5.9000999,5.912909261,6.076536313,6.32962963,6.421302058,5.899100899,5.97140255,6.19637827,6.24863388
Traffic Signal,2007,"Dramas, Independent Movies, International Movies",India,6.5,0,6.068088468,6.170510708,5.972794118,6.216580066,0,6.058974359,6.159090909,5.953034547,5.987591241,0,5.91237721,5.955712937,5.920058997
Trailer Park Boys: Countdown to Liquor Day,2009,"Comedies, Cult Movies",Canada,7.4,5.90199005,6.67990774,7.085929648,6.421661409,7.163705104,5.902392822,6.64484233,7.065700914,6.388549194,6.268399168,5.900199601,5.999439776,6.123505976,5.992673993
Trailer Park Boys: The Movie,2006,"Comedies, Cult Movies",Canada,7.2,5.907157058,6.714960301,7.032538967,6.523918766,7.071959027,5.906374502,6.681078691,7.019042316,6.492003264,6.315868747,5.901197605,6.018733274,6.242537804,5.978770008
Trainspotting,1996,"Comedies, Cult Movies, Dramas",United Kingdom,8.1,6.373836276,8.180732016,8.092024738,7.967877138,8.094369268,6.259589041,8.174494039,8.090279379,7.961884019,8.075041125,6.003802281,8.118198954,8.053213389,7.704247822
Traitor,2008,"Dramas, Thrillers",United States,7,5.906951341,6.734628742,6.967209205,6.894504651,6.975767723,5.900199601,6.723539792,6.964929061,6.88265415,6.744007447,5.907960199,6.174174174,6.559979599,6.527122153
Transcendence,2014,"Sci-Fi & Fantasy, Thrillers","United Kingdom, China, United States",6.3,5.93289225,6.389917119,6.196807322,6.090993425,6.197916985,5.919692603,6.387105759,6.196178295,6.089405657,6.286925114,5.910344828,6.446178687,6.180179704,6.197802759
Trash,2014,"Dramas, Independent Movies, Thrillers","United Kingdom, Brazil, Germany",7.2,5.911904762,7.006314244,6.984415334,6.690750633,7.017115624,5.908349901,6.928647215,6.962825789,6.65646471,7.09585754,5.902097902,6.719170984,6.861277445,6.265355522
Tremors,1990,"Comedies, Cult Movies, Horror Movies",United States,7.1,5.955139289,7.017627677,7.07966722,7.039042975,7.085433181,5.941529526,7.003319368,7.174786167,7.029635276,6.913453973,5.910447761,6.563865546,6.859064702,6.745599527
"Trikal (Past, Present, Future)",1985,"Comedies, Dramas, Independent Movies",India,7,0,5.932908913,6.007103825,5.890294957,6.022797927,0,5.92983317,5.998071625,5.869971126,5.922482893,0,5.902195609,5.896825397,5.91305638
Trimurti,1995,"Action & Adventure, Dramas, International Movies",India,4.8,5.9000999,5.82195122,5.093650794,5.770873786,5.168201327,5.9000999,5.864766839,5.155614973,5.760784314,5.668049155,0,5.825688073,5.68172232,5.923352166
Triple Frontier,2019,Action & Adventure,United States,6.4,5.975791434,6.564296644,6.387526195,6.265421853,6.392562512,5.949379179,6.558163997,6.385950715,6.26089167,6.25295778,5.897614314,6.232045684,6.134569248,6.157634513
Tum Milo Toh Sahi,2010,"Comedies, Dramas, International Movies",India,5.7,0,5.883318057,5.855972696,5.896805421,5.832919255,0,5.876497696,5.872413793,5.897276265,5.896078431,0,5.904975124,5.889108911,5.901195219
Turbo,2013,"Children & Family Movies, Comedies",United States,6.4,5.946835443,6.472200343,6.384882385,6.247257384,6.390437211,5.925174825,6.463796537,6.285183539,6.238471004,6.54847258,5.90788705,6.47656498,6.494705174,6.295755432
Udaan,2010,"Dramas, Independent Movies, International Movies",India,8.2,5.93546798,8.218617137,7.877750611,6.062574439,8.12539976,5.922848665,8.3001998,7.868181533,5.999547966,7.206064395,5.906281157,6.724221046,6.971494893,6.004255319
Ugly Aur Pagli,2008,"Comedies, International Movies, Romantic Movies",India,3.7,0,5.656334232,5.242307692,5.833045149,5.144430218,0,5.670663034,5.275755446,5.844186047,5.794301994,0,5.890207715,5.813178295,5.884836472
Ultras,2020,"Dramas, International Movies, Sports Movies",Italy,5.9,5.848275862,5.854884742,6.015397631,5.767647059,6.042495687,5.868780971,5.98221437,6.065951743,5.851515152,5.523076923,5.880597015,5.743522833,5.754154995,5.812803104
Uma Maheswara Ugra Roopasya,2020,"Comedies, Dramas, Independent Movies",India,7.9,5.915537849,6.277276456,6.134812287,5.919329389,6.511864407,5.91226321,6.238870432,6.114652956,5.919329389,5.92053307,0,5.910735586,5.906281157,0
Underdogs,2013,"Children & Family Movies, Sports Movies","Argentina, Spain",5.8,5.897102897,5.9,5.849700599,5.868634064,5.827877238,0,5.889525515,5.856985871,5.863157895,5.913867356,5.897102897,5.919771863,5.889214759,5.916122841
Upstarts,2019,"Comedies, Dramas, International Movies",India,6.6,0,6.022036874,5.980888516,5.893829579,6.095677233,0,6.012688554,5.977702703,5.903343166,5.903536346,0,5.904975124,5.90347567,5.896414343
Uriyadi 2,2019,"Dramas, International Movies",India,7.2,5.904095904,6.129889924,5.973684211,5.885402185,6.204627621,0,6.123404255,5.973222125,5.886567164,5.905351833,0,5.905189621,0,5.899100899
Varane Avashyamund,2020,"Comedies, Dramas, International Movies",India,6.9,5.899100899,6.212242091,6.136222692,5.905825243,6.345683998,5.899100899,6.195278365,6.123215573,5.902629017,5.934495759,0,5.9,5.919373777,5.902195609
Vettai,2012,"Action & Adventure, International Movies, Music & Musicals",India,5.9,0,5.993333333,5.854347826,5.889393939,5.9,0,5.991598916,5.855555556,5.870498084,5.93099631,0,5.919727891,5.911260828,5.909792285
Virsa,2010,"Dramas, International Movies, Music & Musicals","India, Pakistan",5.6,0,5.9,5.883553875,5.88389662,5.891575092,0,5.89436346,5.9,5.88389662,5.888888889,0,5.903096903,5.882107356,0
Waar,2013,"Action & Adventure, International Movies",Pakistan,7.9,0,8.466491535,7.264925709,5.689017341,7.715514251,0,8.357608403,7.255949294,5.703398058,7.140698557,0,7.358029396,6.445299145,5.879850746
Waiting...,2005,"Comedies, Independent Movies",United States,6.8,5.907960199,6.637092081,6.783101765,6.523329682,6.785883682,5.901196411,6.623298178,6.780184068,6.511482044,6.450609154,5.906187625,6.310546258,6.428758015,6.164595104
Wake Up Sid,2009,"Comedies, International Movies, Romantic Movies",India,7.6,5.923715415,7.523874755,7.259128475,6.258151476,7.513212171,5.911111111,7.594439035,7.243046981,6.17150838,7.081549253,5.906281157,6.664926931,6.765439372,6.046642793
War Horse,2011,Dramas,"United States, India",7.2,5.985446009,7.45356127,7.081070465,7.04112741,7.186282289,5.953595398,7.337983214,7.076644609,7.02791494,7.537405648,5.932908913,7.623698617,7.277420937,7.216858238
Wazir,2016,"Dramas, International Movies, Thrillers",India,7.1,5.906349206,7.159576855,6.644827586,6.126387009,6.998631526,5.898807157,7.146493155,6.634467537,6.100713267,6.486106535,5.901098901,6.198459168,6.221820918,5.955722326
We Are Family,2010,"Dramas, International Movies","India, Australia",5.6,0,5.809170306,5.579329609,5.875131349,5.535478807,0,5.760078023,5.530802369,5.858295142,6.020359281,0,5.989440994,5.9,5.919410086
We Are Legends,2019,"Action & Adventure, International Movies, Sports Movies",Hong Kong,5.1,0,5.903849951,5.850469043,5.885365854,5.835208711,0,5.901783944,5.849056604,5.8859375,5.897324083,0,5.901098901,5.898406375,5.899100899
Welcome,2007,"Comedies, International Movies, Music & Musicals",India,6.9,5.921343874,6.904751058,6.231010693,5.921935988,6.720669899,5.91980198,6.892960663,6.226780157,5.954098361,6.070114943,5.903193613,6.059041731,5.9,5.884090909
Welcome to Sajjanpur,2008,"Comedies, Dramas, International Movies",India,6.9,0,6.234673367,6.602888087,5.944463373,6.603087886,0,6.219354839,6.579992363,5.924098505,6.110032362,0,5.948368522,6.053792502,5.920289855
What's Your Raashee?,2009,"Comedies, International Movies, Music & Musicals",India,4.6,0,5.307990315,5.235236396,5.849344978,5.141338727,0,5.325827815,5.336062378,5.864298725,5.589096126,0,5.814035088,5.621555368,5.869216061
